id,Station,Boro,2019,2023
453,82 St-Jackson Hts (7),Q,"4,893,865","2,722,243"
84,85 St-Forest Pkwy (J),Q,"1,061,293","829,926"
476,86 St (Q),M,"8,378,778","5,443,029"
311,86 St. (1),M,"5,659,795","3,983,729"
397,"86 St. (4,5,6)",M,"13,537,308","10,472,358"
158,"86 St. (B,C)",M,"3,232,637","2,486,809"
79,86 St. (N),B,"708,542","557,808"
38,86 St. (R),B,"3,434,888","2,636,985"
191,88 St (A),Q,"853,110","576,816"
59,9 Av (D),B,"1,708,387","1,263,578"
452,90 St-Elmhurst Av (7),Q,"5,272,683","4,476,908"
310,"96 St (1,2,3)",M,"11,628,887","7,856,393"
396,96 St (6),M,"5,145,222","3,760,351"
157,"96 St (B,C)",M,"3,038,864","2,133,657"
475,96 St (Q),M,"6,154,837","3,832,205"
91,Alabama Av (J),B,"628,299","365,995"
423,"Allerton Av (2,5)",Bx,"1,614,464","874,229"
196,Aqueduct Racetrack (A),Q,"601,436","202,474"
197,Aqueduct-North Conduit Av (A),Q,"263,422","162,584"
407,Astor Place (6),M,"5,502,925","3,717,074"
2,"Astoria Blvd (N,W)",Q,"723,354","2,350,512"
1,"Astoria-Ditmars Blvd (N,W)",Q,"5,277,341","3,234,661"
133,Atlantic Av (L),B,"469,819","351,212"
617,"Atlantic Av-Barclays Ctr (B,D,N,Q,R,2,3,4,5)",B,"13,939,794","9,583,506"
48,Avenue H (Q),B,"991,766","646,824"
246,Avenue I (F),B,"584,129","381,174"
49,Avenue J (Q),B,"1,775,846","1,169,052"
50,Avenue M (Q),B,"1,691,285","1,211,324"
248,Avenue N (F),B,"877,383","600,279"
249,Avenue P (F),B,"739,804","538,576"
251,Avenue U (F),B,"547,776","386,152"
78,Avenue U (N),B,"1,019,104","877,440"
52,Avenue U (Q),B,"2,301,941","1,589,246"
252,Avenue X (F),B,"758,700","479,429"
70,Bay 50 St (D),B,"821,873","575,901"
68,Bay Pkwy (D),B,"2,446,673","1,714,685"
247,Bay Pkwy (F),B,"362,802","279,620"
76,Bay Pkwy (N),B,"2,071,452","1,594,271"
36,Bay Ridge Av (R),B,"2,354,120","1,784,703"
39,Bay Ridge-95 St (R),B,"1,743,441","1,176,225"
443,Baychester Av (5),Bx,"1,094,872","540,493"
202,"Beach 105 St (A,S)",Q,"88,439","62,878"
208,Beach 25 St (A),Q,"517,164","318,542"
207,Beach 36 St (A),Q,"292,305","170,361"
206,Beach 44 St (A),Q,"215,701","140,167"
205,Beach 60 St (A),Q,"623,826","355,668"
204,Beach 67 St-Arverne By The Sea (A),Q,"718,008","474,975"
200,"Beach 90 St (A,S)",Q,"348,771","172,663"
201,"Beach 98 St (A,S)",Q,"164,130","97,689"
120,Bedford Av (L),B,"7,836,366","8,399,477"
211,"Bedford Park Blvd (B,D)",Bx,"2,143,375","1,166,942"
380,Bedford Park Blvd-Lehman College (4),Bx,"1,538,253","1,182,701"
289,Bedford-Nostrand Avs (G),B,"2,795,387","1,985,142"
339,"Bergen St (2,3)",B,"1,208,319","990,992"
236,"Bergen St (F,G)",B,"3,577,496","2,701,492"
45,Beverley Rd (Q),B,"1,048,249","795,709"
357,"Beverly Rd (2,5)",B,"1,284,232","951,520"
103,"Bowery (J,Z)",M,"1,325,244","887,619"
414,"Bowling Green (4,5)",M,"8,362,034","4,575,586"
258,"Briarwood-Van Wyck Blvd (E,F)",Q,"1,501,152","1,046,884"
55,"Brighton Beach (B,Q)",B,"3,745,994","2,635,382"
199,"Broad Channel (A,S)",Q,"90,358","52,378"
107,"Broad St (J,Z)",M,"2,172,223","1,214,353"
286,Broadway (G),B,"1,506,905","1,112,371"
4,"Broadway (N,W)",Q,"3,038,655","2,763,230"
621,"Broadway Junction (A,C,J,L,Z)",B,"2,759,349","1,647,748"
619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",M,"12,455,155","9,268,403"
425,"Bronx Park East (2,5)",Bx,"769,303","456,352"
376,Brook Av (6),Bx,"1,823,468","1,104,521"
622,"Brooklyn Bridge-City Hall (4,5,6)/Chambers St (J,Z)",M,"9,065,146","5,881,022"
361,Buhre Av (6),Bx,"1,146,032","758,972"
422,"Burke Av (2,5)",Bx,"1,000,896","532,937"
384,Burnside Av (4),Bx,"3,113,514","1,891,402"
131,Bushwick Av-Aberdeen St (L),B,"600,188","548,179"
325,Canal St (1),M,"1,984,827","1,148,885"
169,"Canal St (A,C,E)",M,"6,403,172","3,950,546"
623,"Canal St (J,N,Q,R,W,Z,6)",M,"15,861,864","10,521,747"
138,Canarsie-Rockaway Pkwy (L),B,"3,302,691","861,420"
237,"Carroll St (F,G)",B,"3,615,019","2,625,017"
365,Castle Hill Av (6),Bx,"1,954,511","1,051,526"
308,Cathedral Pkwy-110 St (1),M,"3,703,893","2,898,816"
155,"Cathedral Pkwy-110 St (B,C)",M,"2,396,624","1,684,290"
114,Central Av (M),B,"1,472,067","821,947"
441,"Central Park North-110 St (2,3)",M,"2,666,985","1,598,022"
327,"Chambers St (1,2,3)",M,"5,941,546","3,782,605"
624,"Chambers St (A,C)/WTC (E)/Park Place (2,3)/Cortlandt (R,W)",M,"20,820,549","12,298,422"
93,"Chauncey St (J,Z)",B,"1,076,510","623,164"
323,Christopher St-Sheridan Sq (1),M,"3,412,332","2,817,379"
356,"Church Av (2,5)",B,"2,862,033","1,947,722"
44,"Church Av (B,Q)",B,"5,061,013","3,194,658"
243,"Church Av (F,G)",B,"3,051,736","2,060,505"
20,"City Hall (R,W)",M,"1,710,380","1,138,401"
334,"Clark St (2,3)",B,"1,781,419","1,554,195"
290,Classon Av (G),B,"1,722,852","1,342,389"
89,Cleveland St (J),B,"880,879","440,455"
177,Clinton-Washington Avs (C),B,"2,144,338","1,587,595"
291,Clinton-Washington Avs (G),B,"1,609,332","1,263,928"
58,"Coney Island-Stillwell Av (D,F,N,Q)",B,"4,579,191","3,220,518"
46,Cortelyou Rd (Q),B,"1,957,538","1,296,344"
606,"Court Sq (E,G,M,7)",Q,"7,033,377","5,381,184"
620,"Court St (R)/Borough Hall (2,3,4,5)",B,"10,135,722","6,066,699"
87,"Crescent St (J,Z)",B,"1,391,945","756,318"
345,"Crown Heights-Utica Av (3,4)",B,"7,933,008","5,071,387"
375,Cypress Av (6),Bx,"1,043,922","501,060"
86,Cypress Hills (J),B,"420,647","286,484"
26,"DeKalb Av (B,Q,R)",B,"6,708,640","4,272,247"
127,DeKalb Av (L),B,"3,290,894","2,772,609"
625,"Delancey St (F)/Essex St (J,M,Z)",M,"8,861,296","7,083,681"
244,Ditmas Av (F),B,"1,177,275","848,061"
299,Dyckman St (1),M,"2,079,656","1,512,897"
144,Dyckman St (A),M,"2,238,372","1,306,098"
137,East 105 St (L),B,"1,001,343","602,303"
374,East 143 St-St Mary's St (6),Bx,"313,938","254,155"
373,East 149 St (6),Bx,"1,467,410","966,053"
