,id,Station,Boro,2019,2023,GTFS Stop ID,Station ID,Division,Line,Stop Name,Borough,CBD,Daytime Routes,Structure,Lat,Long,North Direction Label,South Direction Label,ADA,ADA Northbound,ADA Southbound,ADA Notes,Georeference,POINT,BLOCK GROUP,TRACT,DISTANCE
366,629,Lorimer St (L)/Metropolitan Av (G),B,"4,696,924","3,903,034",G29,285,IND,Crosstown,Metropolitan Av,Bk,FALSE,G,Subway,40.712792,-73.951418,Queens,Southbound,1,1,1,,POINT (-73.951418 40.712792),POINT (-73.951418 40.712792),360470513003,36047051300,0.05324162270253705
367,629,Lorimer St (L)/Metropolitan Av (G),B,"4,696,924","3,903,034",L10,121,BMT,Canarsie,Lorimer St,Bk,FALSE,L,Subway,40.714063,-73.950275,Manhattan,Outbound,1,1,1,,POINT (-73.950275 40.714063),POINT (-73.950275 40.714063),360470513001,36047051300,0.05296259240255337
368,296,Marble Hill-225 St (1),M,"1,561,844","1,067,679",106,296,IRT,Broadway - 7Av,Marble Hill-225 St,M,FALSE,1,Elevated,40.874561,-73.909831,The Bronx,Downtown,0,0,0,,POINT (-73.909831 40.874561),POINT (-73.909831 40.874561),360610309002,36061030900,0.14078279540483568
369,101,"Marcy Av (J,M,Z)",B,"4,717,791","2,864,396",M16,101,BMT,Jamaica,Marcy Av,Bk,FALSE,M J Z,Elevated,40.708359,-73.957757,Outbound,Manhattan,1,1,1,,POINT (-73.957757 40.708359),POINT (-73.957757 40.708359),360470529003,36047052900,0.053429951618913736
370,448,Mets-Willets Point (7),Q,"2,025,162","1,818,251",702,448,IRT,Flushing,Mets-Willets Point,Q,FALSE,7,Elevated,40.754622,-73.845625,Outbound,Manhattan,0,0,0,,POINT (-73.845625 40.754622),POINT (-73.845625 40.754622),360810383021,36081038302,0.13837527925536047
371,108,Middle Village-Metropolitan Av (M),Q,"1,090,449","798,449",M01,108,BMT,Myrtle Av,Middle Village-Metropolitan Av,Q,FALSE,M,Elevated,40.711396,-73.889601,Inbound,Last Stop,1,1,1,,POINT (-73.889601 40.711396),POINT (-73.889601 40.711396),360810613011,36081061301,0.10394118152589506
372,362,Middletown Rd (6),Bx,"597,839","401,976",603,362,IRT,Pelham,Middletown Rd,Bx,FALSE,6,Elevated,40.843863,-73.836322,Pelham Bay,Manhattan,0,0,0,,POINT (-73.836322 40.843863),POINT (-73.836322 40.843863),360050266023,36005026602,0.17240419673836155
373,124,Montrose Av (L),B,"1,933,886","1,683,408",L13,124,BMT,Canarsie,Montrose Av,Bk,FALSE,L,Subway,40.707739,-73.93985,Manhattan,Outbound,0,0,0,,POINT (-73.93985 40.707739),POINT (-73.93985 40.707739),360470493022,36047049302,0.06460172150182351
374,125,Morgan Av (L),B,"2,100,475","1,769,142",L14,125,BMT,Canarsie,Morgan Av,Bk,FALSE,L,Subway,40.706152,-73.933147,Manhattan,Outbound,0,0,0,,POINT (-73.933147 40.706152),POINT (-73.933147 40.706152),360470453002,36047045300,0.07044426955401378
375,446,Morris Park (5),Bx,"711,229","521,846",505,446,IRT,Dyre Av,Morris Park,Bx,FALSE,5,Open Cut,40.854364,-73.860495,Eastchester,Manhattan,0,0,0,,POINT (-73.860495 40.854364),POINT (-73.860495 40.854364),360050248002,36005024800,0.15857670800277743
376,368,Morrison Av-Soundview (6),Bx,"1,970,185","1,221,900",610,368,IRT,Pelham,Morrison Av-Soundview,Bx,FALSE,6,Elevated,40.829521,-73.874516,Northbound,Manhattan,0,0,0,,POINT (-73.874516 40.829521),POINT (-73.874516 40.829521),360050048001,36005004800,0.13249543349489043
377,379,Mosholu Pkwy (4),Bx,"2,491,758","1,728,114",402,379,IRT,Jerome Av,Mosholu Pkwy,Bx,FALSE,4,Elevated,40.87975,-73.884655,Woodlawn,Manhattan,0,0,0,,POINT (-73.884655 40.87975),POINT (-73.884655 40.87975),360050419004,36005041900,0.1595523472876549
378,386,Mt Eden Av (4),Bx,"1,551,038","990,912",411,386,IRT,Jerome Av,Mt Eden Av,Bx,FALSE,4,Elevated,40.844434,-73.914685,Northbound,Manhattan,0,0,0,,POINT (-73.914685 40.844434),POINT (-73.914685 40.844434),360050227021,36005022702,0.11322944131717043
379,97,"Myrtle Av (J,M,Z)",B,"3,854,024","2,654,490",M11,97,BMT,Jamaica,Myrtle Av,Bk,FALSE,M J Z,Elevated,40.697207,-73.935657,Outbound,Manhattan,0,0,0,,POINT (-73.935657 40.697207),POINT (-73.935657 40.697207),360470287001,36047028700,0.07526970106223975
380,288,Myrtle-Willoughby Avs (G),B,"1,820,637","1,265,040",G32,288,IND,Crosstown,Myrtle-Willoughby Avs,Bk,FALSE,G,Subway,40.694568,-73.949046,Queens,Southbound,0,0,0,,POINT (-73.949046 40.694568),POINT (-73.949046 40.694568),360470253001,36047025300,0.06972612379876163
381,630,"Myrtle-Wyckoff Avs (L,M)",B,"5,927,332","5,009,020",L17,128,BMT,Canarsie,Myrtle-Wyckoff Avs,Bk,FALSE,L,Subway,40.699814,-73.911586,Manhattan,Outbound,1,1,1,,POINT (-73.911586 40.699814),POINT (-73.911586 40.699814),360470439003,36047043900,0.09098491518927074
382,630,"Myrtle-Wyckoff Avs (L,M)",B,"5,927,332","5,009,020",M08,112,BMT,Myrtle Av,Myrtle-Wyckoff Avs,Bk,FALSE,M,Elevated,40.69943,-73.912385,Inbound,Middle Village,1,1,1,,POINT (-73.912385 40.69943),POINT (-73.912385 40.69943),360470439003,36047043900,0.09058492769218915
